repo,file,decl,method,n,metric,model,annotation,syntax_search,mathlib_search,og_correct,og_errors,og_score,new_correct,new_errors,new_score,delta,og_raw,new_raw,time
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,prompt_flat,5.0,LENGTH,gpt-4o,True,False,False,True,,7,False,"unsolved goals
case right
α : Type u_1
s t u : Set α
x : α
xs : x ∈ s
xt : x ∈ t
⊢ x ∈ t ∪ u

case inr.intro
α : Type u_1
s t u : Set α
x : α
xs : x ∈ s
xu : x ∈ u
⊢ x ∈ s ∩ (t ∪ u)
	at: by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; 
unexpected token '['; expected command
	at:   rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; [left; exact xt, right; exact xu]",,,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","

example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u)  := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; [left; exact xt, right; exact xu]
",12.888782024383545
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,best_of_n,5.0,LENGTH,gpt-4o,True,False,False,True,,7,False,"unsolved goals
case right
α : Type u_1
s t u : Set α
x : α
xs : x ∈ s
xt : x ∈ t
⊢ x ∈ t ∪ u

case inr.intro
α : Type u_1
s t u : Set α
x : α
xs : x ∈ s
xu : x ∈ u
⊢ x ∈ s ∩ (t ∪ u)
	at: by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; 
unexpected token '['; expected command
	at:   rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; [left; exact xt, right; exact xu]",,,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","

example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u)  := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩); use xs; [left; exact xt, right; exact xu]
",35.82898187637329
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,refinement,5.0,LENGTH,gpt-4o,True,False,False,True,,7,True,,7.0,0.0,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu",33.3360710144043
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,prompt_structured,,LENGTH,gpt-4o,True,False,False,True,,7,False,"unexpected token ','; expected ']'
	at:   rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩) <;> use xs <;> [left, right] <;> assumption",,,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","

example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u)  := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩) <;> use xs <;> [left, right] <;> assumption
",12.995799779891968
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,best_of_n,5.0,LENGTH,gpt-4o,True,False,False,True,,7,False,"unexpected token '|'; expected '_' or identifier
	at:   case |",,,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","

example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u)  := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  case |
    use xs; left; exact xt
  case .
    use xs; right; exact xu
",41.42984986305237
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) ,refinement,5.0,LENGTH,gpt-4o,True,False,False,True,,7,True,,3.0,-57.14285714285714,"example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u) := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  · use xs; left; exact xt
  . use xs; right; exact xu","example : s ∩ t ∪ s ∩ u ⊆ s ∩ (t ∪ u)  := by
  rintro x (⟨xs, xt⟩ | ⟨xs, xu⟩)
  { use xs; exact Or.inl xt }
  { use xs; exact Or.inr xu }",33.13642883300781
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s \ (t ∪ u) ⊆ (s \ t) \ u ,prompt_flat,5.0,LENGTH,gpt-4o,True,False,False,True,,7,True,,2.0,-71.42857142857143,"example : s \ (t ∪ u) ⊆ (s \ t) \ u := by
  rintro x ⟨xs, xntu⟩
  constructor
  use xs
  · intro xt
    exact xntu (Or.inl xt)
  intro xu
  apply xntu (Or.inr xu)","

example : s \ (t ∪ u) ⊆ (s \ t) \ u  := by
  rintro x ⟨xs, xntu⟩
  exact ⟨⟨xs, fun xt => xntu (Or.inl xt)⟩, fun xu => xntu (Or.inr xu)⟩
",12.924000978469849
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s \ (t ∪ u) ⊆ (s \ t) \ u ,best_of_n,5.0,LENGTH,gpt-4o,True,False,False,True,,7,True,,2.0,-71.42857142857143,"example : s \ (t ∪ u) ⊆ (s \ t) \ u := by
  rintro x ⟨xs, xntu⟩
  constructor
  use xs
  · intro xt
    exact xntu (Or.inl xt)
  intro xu
  apply xntu (Or.inr xu)","

example : s \ (t ∪ u) ⊆ (s \ t) \ u  := by
  rintro x ⟨xs, xntu⟩
  exact ⟨⟨xs, fun xt => xntu (Or.inl xt)⟩, fun xu => xntu (Or.inr xu)⟩
",35.92013597488403
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s \ (t ∪ u) ⊆ (s \ t) \ u ,refinement,5.0,LENGTH,gpt-4o,True,False,False,True,,7,True,,3.0,-57.14285714285714,"example : s \ (t ∪ u) ⊆ (s \ t) \ u := by
  rintro x ⟨xs, xntu⟩
  constructor
  use xs
  · intro xt
    exact xntu (Or.inl xt)
  intro xu
  apply xntu (Or.inr xu)","example : s \ (t ∪ u) ⊆ (s \ t) \ u   := by
  rintro x ⟨xs, xntu⟩; constructor; use xs
  intro xt; exact xntu (Or.inl xt)
  intro xu; exact xntu (Or.inr xu)",32.97022223472595
Tests,Tests/C04_Sets_and_Functions/solutions/Solutions_S01_Sets.lean,example : s \ (t ∪ u) ⊆ (s \ t) \ u ,prompt_structured,,LENGTH,gpt-4o,True,False,False,True,,7,True,,2.0,-71.42857142857143,"example : s \ (t ∪ u) ⊆ (s \ t) \ u := by
  rintro x ⟨xs, xntu⟩
  constructor
  use xs
  · intro xt
    exact xntu (Or.inl xt)
  intro xu
  apply xntu (Or.inr xu)","

example : s \ (t ∪ u) ⊆ (s \ t) \ u  := by
  rintro x ⟨xs, xntu⟩
  exact ⟨⟨xs, λ xt => xntu (Or.inl xt)⟩, λ xu => xntu (Or.inr xu)⟩
",12.96699595451355
